scenario,waypoint,label,x,y,status,duration_s,mode_switches,stop_latency_s,resume_latency_s
baseline,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,16.55,0,,
baseline,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,29.82,0,,
baseline,0,MODE_TEST_1,-6.0,-2.0,MANUAL_OVERRIDE,5.29,2,0.0017,1.2799
baseline,3,aisle1_top,-6.0,5.0,SUCCEEDED,22.55,0,,
baseline,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,17.44,0,,
baseline,0,MODE_TEST_2,-2.0,5.0,MANUAL_OVERRIDE,5.2,2,0.0011,1.1906
baseline,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,22.35,0,,
baseline,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,28.65,0,,
